id,albufeira,lagua,bacia,distrito,concelho,freguesia,adren_bara,adrenp_bar,altmax_bac,altmed_bac,altmin_bac,alt_bac,decmed_bac,compax_lag,decmed_lag,ppmed_a_ba,pp20_bac,pp50_bac,pp90_bac,escma_bac,esc20_bac,esc50_bac,esc90_bac,m,p,longdd,latdd,ano_ifunc,obra,projecto,tipo_barra,alt_barrag,alt_terren,dcoroament,ccoroament,lcoroament,npa,nmc,nme,cc_nmc,cc_npa,supinundnp,tresid,coeficreg,poa,rhidro_cod,escadaspei,aespanha,observacoe
166,Escarigo,RIBEIRA DO ESCARIGO,TEJO,CASTELO BRANCO,FUNDÃO,ESCARIGO,3.16,3.17,726,624,532,0,12.1,2.4,4.8,873,0,0,0,0,0,0,0,272105,365706,-7.285557888,40.256915328,1992,,,Terra,0,547,0,0,0,537.5,538.25,530.6,0,0,0,0,0,,,,N,
167,Esperança,RIO AVE,AVE/LEÇA,BRAGA,PÓVOA DE LANHOSO,ESPERANÇA,123.12,2.27,514,337,225,0,22.5,2.6,6.4,2049,0,0,0,0,0,0,0,197951,511847,-8.157688172,41.575958953,0,,,,0,225,0,0,0,0,0,0,0,0,0,0,0,,,,N,Faz parte do aproveitamento hidroeléctrico em cascata do rio Ave
168,Estevais,,DOURO,BRAGANÇA,MOGADOURO,CASTELO BRANCO,42.62,42.63,899,674,497,0,12.7,13.4,2.5,767,0,0,0,0,0,0,0,313829,480753,-6.774291087,41.28798396,0,,,,0,499,0,0,0,555.5,557,0,0,0,0,0,0,,,,N,
47,Esteveinha (Alfândega da Fé),RIBEIRA DE SOEIMA,DOURO,BRAGANÇA,ALFÂNDEGA DA FÉ,ALFÂNDEGA DA FÉ,0.62,0.63,645,624,597,0,4.6,1.4,2,705,0,0,0,0,0,0,0,298507,489473,-6.955744911,41.368494717,1970,INAG I.P.,,Terra homogénea,27,25,750,628,6,625.5,625.7,0,0,0,22,0,0,,05P/01A,N,N,Também conhecida por  Barragem de Alfândega da Fé.
75,Fagilde,RIO DÃO,MONDEGO,VISEU,VISEU,POVOLIDE,426.75,426.75,980,586,302,0,11.2,44.1,1,1112,0,0,0,0,0,0,0,228743,407307,-7.793359034,40.634149485,1984,INAG I.P.,HIDROPROJECTO,Arco Abóboda,27,18.5,63.3,312.5,2,310,311.6,300,0.9,2.5,8,0,0,,10K/01A,N,N,
169,Fargela,RIBEIRA DA FARGELA,TEJO,ÉVORA,ARRAIOLOS,VIMIEIRO,27.2,27.21,403,285,222,0,5.9,8.1,1.2,595,0,0,0,0,0,0,0,228984,202257,-7.799510741,38.787384412,0,,,Terra,30,0,0,0,0,232,0,0,0,0,0,0,0,,,,N,
170,Feiticeiro,,DOURO,BRAGANÇA,TORRE DE MONCORVO,CABEÇA BOA,6.41,6.42,746,350,127,0,17.6,5.5,11,545,0,0,0,0,0,0,0,285781,471877,-7.110299066,41.211539425,0,,,Gravidade de betão,0,138,0,0,0,138.5,139.5,133.5,0,0,0,0,0,,,,N,
172,Fonte Longa,RIBEIRA DE CATALINO,DOURO,BRAGANÇA,CARRAZEDA DE ANSIÃES,FONTE LONGA,3.28,3.28,872,797,743,0,7.2,2.9,3.4,779,0,0,0,0,0,0,0,271481,473698,-7.280573799,41.229321385,1988,CAMARA MUNICIPAL DE CARRAZEDA DE ANSIÃES,HIDROPROJECTO,Terra,22,20,415,759.5,0,757.5,758,747.5,1.5,2.5,0,0,0,,06N/01A,,N,
60,Fonte Serne,BARRANCO DE BENATELAR,SADO,SETÚBAL,SANTIAGO DO CACÉM,SÃO DOMINGOS,31.45,31.46,146,100,70,0,2.5,11.5,0.5,716,0,0,0,0,0,0,0,167957,101708,-8.49731879,37.881481654,1979,ASSOCIAÇÃO DE REGANTES E BENEFICIÁRIOS DE CAMPILHAS E ALTO SADO,DIRECÇÃO-GERAL DOS SERVIÇOS HIDRÁULICOS,Terra zonada,17,16,324,81.4,7,78.5,79.55,73.45,1.85,2.9,105,0,0,,26G/01AE,N,N,
173,Foupana (prevista),RIBEIRA DA FOUPANA,GUADIANA,FARO,ALCOUTIM,ALCOUTIM,381.9,381.9,582,278,33,0,10.2,76.8,0.7,646,0,0,0,0,0,0,0,253700,46998,-7.526713459,37.387571498,0,,,,0,21,0,0,0,85.6,0,0,0,0,0,0,0,,,,N,
